rung,seed,n_ood,n_id,ood_pct_MEL,ood_pct_NV,ood_pct_BCC,ood_pct_AK,ood_pct_BKL,ood_pct_DF,ood_pct_VASC,ood_pct_SCC,id_pct_MEL,id_pct_NV,id_pct_BCC,id_pct_AK,id_pct_BKL,id_pct_DF,id_pct_VASC,id_pct_SCC,id_predicted_own_class_pct
runA_grl,42,2298,5067,21.714534377719755,60.61792863359443,8.485639686684074,1.4795474325500435,5.613577023498695,0.17406440382941687,0.783289817232376,1.1314186248912097,18.709295441089402,52.12157094927965,13.262285375962108,2.3682652457075193,10.163805012828103,0.5328596802841918,0.8880994671403197,1.9538188277087034,81.34991119005328
runA_grl,52,2298,5067,21.192341166231504,59.094865100087034,7.136640557006093,1.7406440382941688,6.570931244560487,0.7397737162750218,0.6962576153176675,2.8285465622280244,17.66331162423525,53.10834813499112,12.847838957963292,2.7037694888494177,10.301953818827709,0.6118018551411092,0.8486283797118611,1.9143477402802447,81.9617130451944
runA_grl,62,2298,5067,18.5378590078329,66.5361183637946,7.658833768494343,0.391644908616188,5.0043516100957355,0.17406440382941687,0.4351610095735422,1.2619669277632724,19.478981645944344,52.25971975527926,12.61101243339254,2.8616538385632526,9.571738701401223,0.6315373988553384,0.7499506611407144,1.8354055654233274,81.03414249062561
runA_grl,72,2298,5067,22.019147084421235,60.661444734551786,8.485639686684074,1.0443864229765014,4.699738903394256,0.34812880765883375,0.6962576153176675,2.0452567449956485,17.62384053680679,53.167554766133804,13.637260706532466,2.9800671008486286,9.236234458259325,0.6315373988553384,0.8288928359976317,1.8946121965660154,81.2907045589106
runA_grl,82,2298,5067,21.496953872932984,61.09660574412533,9.26892950391645,1.4360313315926894,4.525674499564839,0.13054830287206268,0.6527415143603134,1.392515230635335,17.62384053680679,54.095125320702586,12.117623840536806,2.5656206828498127,10.519044799684231,0.6315373988553384,0.8091572922834024,1.6380501282810342,80.06710084862839
runB_orth1,42,2298,5067,20.844212358572673,63.27241079199304,6.919060052219321,1.6100957354221062,5.178416013925152,0.4351610095735422,0.391644908616188,1.3489991296779809,17.426485099664497,53.38464574699033,13.18334320110519,2.5458851391355832,10.203276100256563,0.5328596802841918,0.6710084862837972,2.05249654627985,81.66567988948096
runB_orth1,52,2298,5067,18.189730200174065,62.22802436901654,8.572671888598782,1.566579634464752,7.397737162750218,0.34812880765883375,0.8268059181897301,0.8703220191470844,16.873889875666073,53.779356621274914,12.3149792776791,3.0392737319913166,10.657193605683837,0.7894217485691731,0.8091572922834024,1.7367278468521807,80.77758042234063
runB_orth1,62,2298,5067,23.455178416013926,57.2236727589208,7.789382071366406,0.47867711053089645,7.658833768494343,0.34812880765883375,0.783289817232376,2.2628372497824194,18.965857509374384,52.49654627985001,12.453128083678706,2.7037694888494177,10.025656206828499,0.5525952239984212,0.8880994671403197,1.9143477402802447,80.32366291691336
runB_orth1,72,2298,5067,19.1035683202785,63.44647519582245,7.702349869451697,1.5230635335073976,6.614447345517841,0.26109660574412535,0.17406440382941687,1.174934725848564,16.281823564239193,53.779356621274914,13.47937635681863,2.664298401420959,10.597986974541149,0.6315373988553384,0.6710084862837972,1.8946121965660154,81.19202684033945
runB_orth1,82,2298,5067,18.14621409921671,63.09834638816362,8.877284595300262,1.8276762402088773,5.395996518711923,0.4351610095735422,0.5221932114882507,1.6971279373368147,17.91987369252023,52.180777580422344,13.360963094533254,2.5458851391355832,10.597986974541149,0.7894217485691731,0.8091572922834024,1.7959344779948687,81.07361357805406
runB,42,2298,5067,25.282854656222803,58.05047867711053,7.397737162750218,1.566579634464752,5.178416013925152,0.30461270670147955,0.8268059181897301,1.392515230635335,17.24886520623643,52.47681073613578,12.571541345964082,2.723505032563647,11.288731004539175,0.6315373988553384,1.1249259917110717,1.9340832839944742,81.8235642391948
runB,52,2298,5067,17.40644038294169,63.27241079199304,8.311575282854657,1.3489991296779809,7.658833768494343,0.08703220191470844,0.5657093124456049,1.3489991296779809,17.959344779948687,53.700414446418,12.058417209394118,2.8616538385632526,10.282218275113479,0.6315373988553384,0.7302151174264851,1.7761989342806395,80.85652259719755
runB,62,2298,5067,14.751958224543081,70.45256744995649,7.528285465622281,0.391644908616188,5.613577023498695,0.08703220191470844,0.6962576153176675,0.47867711053089645,16.913360963094533,54.016183145845666,13.558318531675548,2.5656206828498127,10.144069469113875,0.5920663114268798,0.7696862048549438,1.4406946911387408,81.0144069469114
