rung,method,seed,checkpoint_path,scorer,auroc,fpr95
runA_grl,csg,82,../checkpoints/csg_lite/runA_grl_s82/best-23.ckpt,knn_k50,0.44495870221537925,0.9686204854943754
runB_orth1,csg,42,../checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,mahalanobis,0.38084996125890436,0.9976317347542925
runB_orth1,csg,42,../checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,cosine,0.41480394223067985,0.9859877639628972
runB_orth1,csg,42,../checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,knn_k1,0.416178817423548,0.970396684428656
runB_orth1,csg,42,../checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,knn_k10,0.40853880885602034,0.9757252812314979
runB_orth1,csg,42,../checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,knn_k50,0.40751845204632164,0.9737517268600749
runB_orth1,csg,52,../checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,mahalanobis,0.40322313720256486,0.9861851194000395
runB_orth1,csg,52,../checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,cosine,0.4042194472227075,0.9776988356029208
runB_orth1,csg,52,../checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,knn_k1,0.41844977905294467,0.9700019735543715
runB_orth1,csg,52,../checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,knn_k10,0.4062844652758347,0.9798697454114861
runB_orth1,csg,52,../checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,knn_k50,0.40301015135221113,0.983816854154332
runB_orth1,csg,62,../checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,mahalanobis,0.44083150019503664,0.9723702388000789
runB_orth1,csg,62,../checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,cosine,0.43893678494080113,0.9775014801657785
runB_orth1,csg,62,../checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,knn_k1,0.46347077962955235,0.9557923820801263
runB_orth1,csg,62,../checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,knn_k10,0.4534232580205061,0.9563844483915532
runB_orth1,csg,62,../checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,knn_k50,0.44962906109481937,0.9540161831458457
runB_orth1,csg,72,../checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,mahalanobis,0.4148093527583299,0.9707913953029406
runB_orth1,csg,72,../checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,cosine,0.40460715876360337,0.9850009867771857
runB_orth1,csg,72,../checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,knn_k1,0.4240606679888966,0.963686599565818
runB_orth1,csg,72,../checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,knn_k10,0.41148715995907237,0.9611209788829682
runB_orth1,csg,72,../checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,knn_k50,0.40706259362145164,0.9666469311229524
runB_orth1,csg,82,../checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,mahalanobis,0.40269148844989755,0.9717781724886521
runB_orth1,csg,82,../checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,cosine,0.4027984107820308,0.9630945332543912
runB_orth1,csg,82,../checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,knn_k1,0.41940357778440784,0.9644760213143873
runB_orth1,csg,82,../checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,knn_k10,0.4060775340635656,0.9674363528715216
runB_orth1,csg,82,../checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,knn_k50,0.40112234954997295,0.9674363528715216
runB,csg,42,../checkpoints/csg_lite/runB_s42/best-31.ckpt,mahalanobis,0.40041279749528647,0.9818432997829091
runB,csg,42,../checkpoints/csg_lite/runB_s42/best-31.ckpt,cosine,0.4532240561334514,0.9628971778172488
runB,csg,42,../checkpoints/csg_lite/runB_s42/best-31.ckpt,knn_k1,0.41192807502186113,0.9672389974343794
runB,csg,42,../checkpoints/csg_lite/runB_s42/best-31.ckpt,knn_k10,0.40508663457107313,0.970396684428656
runB,csg,42,../checkpoints/csg_lite/runB_s42/best-31.ckpt,knn_k50,0.40713086932751263,0.9717781724886521
runB,csg,52,../checkpoints/csg_lite/runB_s52/best-28.ckpt,mahalanobis,0.4143946315198791,0.9848036313400435
runB,csg,52,../checkpoints/csg_lite/runB_s52/best-28.ckpt,cosine,0.45517356371531825,0.9804618117229129
runB,csg,52,../checkpoints/csg_lite/runB_s52/best-28.ckpt,knn_k1,0.44605789814226526,0.9672389974343794
runB,csg,52,../checkpoints/csg_lite/runB_s52/best-28.ckpt,knn_k10,0.43876708331164826,0.9626998223801065
runB,csg,52,../checkpoints/csg_lite/runB_s52/best-28.ckpt,knn_k50,0.4388725456601299,0.9644760213143873
runB,csg,62,../checkpoints/csg_lite/runB_s62/best-28.ckpt,mahalanobis,0.3652292955853701,0.9883560292086047
runB,csg,62,../checkpoints/csg_lite/runB_s62/best-28.ckpt,cosine,0.4077625699010114,0.991908427077166
runB,csg,62,../checkpoints/csg_lite/runB_s62/best-28.ckpt,knn_k1,0.3906409122115266,0.9587527136372607
runB,csg,62,../checkpoints/csg_lite/runB_s62/best-28.ckpt,knn_k10,0.3814867288344882,0.954213538582988
runB,csg,62,../checkpoints/csg_lite/runB_s62/best-28.ckpt,knn_k50,0.37913821630877315,0.9486875863430038
