J,mean_J_null,z_normal_approx,p_normal_approx,p_exact,n_arrangements,scorer
46.0,37.5,0.8980599244521363,0.36915360290859356,0.20318041746613175,756756,mahalanobis
54.0,37.5,1.7432927945247352,0.08128248335358412,0.045584045584045586,756756,cosine
44.0,37.5,0.6867517069339866,0.49223920701474766,0.26721030292458864,756756,knn_k1
47.0,37.5,1.003714033211211,0.3155164709957412,0.17477760334903192,756756,knn_k10
51.0,37.5,1.4263304682475106,0.1537729738179312,0.08665672951387238,756756,knn_k50
47.0,37.5,1.003714033211211,0.3155164709957412,0.17477760334903192,756756,energy
44.0,37.5,0.6867517069339866,0.49223920701474766,0.26721030292458864,756756,vim
45.0,37.5,0.7924058156930615,0.4281240894661664,0.23404109118394834,756756,density_kde
