condition,role,n_seeds,lambda_orth,condition_number_mean,condition_number_sd,fisher_ratio_HL_mean,fisher_ratio_HL_sd,fisher_ratio_scalar_mean,fisher_ratio_scalar_sd,mardia_kurtosis_b_mean,mardia_kurtosis_b_sd,mardia_kurtosis_z_mean,mardia_kurtosis_z_sd
runA_grl,primary ladder,5,0.0,75.50590845896171,7.795482676630957,541223.3782641988,80980.72749391987,4.694243941177669,0.650378124596362,739.8597331570256,86.47363400775646,341.087277127405,99.28610239791023
runB_orth1,primary ladder,5,1.0,559.7507716069174,125.92948843721081,570718.0257397374,43245.775756746785,4.9359180013284405,0.36651921872526916,787.9838792941979,240.92421680832805,397.2655971712153,257.63487935831307
runB,primary ladder,5,5.0,6596.821944487374,2868.56076383001,555940.9249733464,41598.96600009691,4.894613094854014,0.3068515582428271,766.4395076899679,133.32531203089135,366.1408739499413,147.02318674748926
