metric,n_full,tau_full,p_full_exact,n_arrangements_full,n_common_seed,tau_common_seed,p_common_seed_exact,n_arrangements_common,sign_stable,passes_contract_threshold,probe
domain_auroc,15,-0.34933042528778685,0.1143089714518286,756756,15,-0.34933042528778685,0.1143089714518286,756756,True,True,logistic_regression
domain_auroc,15,-0.2817180849095055,0.20980342408913838,756756,15,-0.2817180849095055,0.20980342408913838,756756,True,False,linear_svm
domain_auroc,15,-0.14649340415294287,0.5344206058491773,756756,15,-0.14649340415294287,0.5344206058491773,756756,True,False,random_forest
