rung,method,seed,checkpoint_path,id_n,id_mean,id_median,id_p95,ood_n,ood_mean,ood_median,ood_p95
runA_grl,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s42/best-38.ckpt,5067,20.639310836791992,13.800039291381836,63.0255012512207,2298,16.454444885253906,7.784252166748047,63.09876251220703
runA_grl,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s52/best-37.ckpt,5067,19.651844024658203,14.23696231842041,55.04970169067383,2298,18.838422775268555,10.259249687194824,62.160518646240234
runA_grl,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s62/best-34.ckpt,5067,18.937114715576172,13.384793281555176,52.931884765625,2298,15.610984802246094,7.66773509979248,53.43854522705078
runA_grl,csg,72,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s72/best-35.ckpt,5067,18.467330932617188,13.938904762268066,50.5897102355957,2298,16.7689208984375,8.122289657592773,59.0893669128418
runA_grl,csg,82,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s82/best-23.ckpt,5067,17.782581329345703,12.32901668548584,51.19124984741211,2298,17.17312240600586,8.967445373535156,59.61896896362305
runB_orth1,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,5067,20.115575790405273,13.584149360656738,58.43644714355469,2298,17.034561157226562,7.676615715026856,61.53047180175781
runB_orth1,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,5067,20.146875381469727,13.903249740600586,58.74270248413086,2298,16.78982162475586,8.978031158447266,56.04582977294922
runB_orth1,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,5067,19.305673599243164,14.25804042816162,52.537261962890625,2298,19.658178329467773,10.20849609375,67.5320053100586
runB_orth1,csg,72,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,5067,19.15259552001953,14.228370666503906,53.00086975097656,2298,17.192256927490234,8.844482421875,62.67871856689453
runB_orth1,csg,82,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,5067,19.74174118041992,14.607260704040527,52.97786331176758,2298,16.585168838500977,9.113052368164062,54.76955795288086
runB,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s42/best-39.ckpt,5067,20.500459671020508,14.067075729370115,58.854034423828125,2298,17.262460708618164,9.781476020812988,55.399654388427734
runB,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s52/best-28.ckpt,5067,18.92566299438477,13.131954193115234,55.3201904296875,2298,16.212406158447266,8.46855354309082,56.607662200927734
runB,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s62/best-39.ckpt,5067,19.31487464904785,13.97253131866455,52.22703170776367,2298,15.6141996383667,7.726715087890625,53.68035888671875
runB,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s72/best-35.ckpt,5067,18.843664169311523,14.397757530212402,51.22920227050781,2298,18.821563720703125,9.849790573120115,58.916717529296875
runB,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s82/best-34.ckpt,5067,19.183969497680664,13.660399436950684,54.98395538330078,2298,15.727572441101074,8.50357437133789,52.734615325927734
