metric,n_full,tau_full,p_full_exact,n_arrangements_full,n_common_seed,tau_common_seed,p_common_seed_exact,n_arrangements_common,sign_stable,passes_contract_threshold
condition_number,15,0.8451542547285166,2.6428597857169285e-06,756756,15,0.8451542547285166,2.6428597857169285e-06,756756,True,True
fisher_ratio_HL,15,0.10141851056742199,0.6792440363868936,756756,15,0.10141851056742199,0.6792440363868936,756756,True,False
fisher_ratio_scalar,15,0.0563436169819011,0.8363673363673364,756756,15,0.0563436169819011,0.8363673363673364,756756,True,False
mardia_kurtosis_b,15,0.0563436169819011,0.8363673363673364,756756,15,0.0563436169819011,0.8363673363673364,756756,True,False
mardia_kurtosis_z,15,0.03380617018914066,0.9177674177674178,756756,15,0.03380617018914066,0.9177674177674178,756756,True,False
