J,mean_J_null,z_normal_approx,p_normal_approx,p_exact,n_arrangements,metric
55.0,27.5,3.6135237589968234,0.0003020636620860717,1.3875013875013875e-05,72072,condition_number
33.0,27.5,0.7227047517993647,0.46986129557480205,0.2605727605727606,72072,fisher_ratio_HL
30.0,27.5,0.3285021599088021,0.7425320114507434,0.39904539904539904,72072,fisher_ratio_scalar
23.0,27.5,-0.5913038878358438,0.5543168250850881,0.7394272394272394,72072,mardia_kurtosis_b
22.0,27.5,-0.7227047517993647,0.46986129557480205,0.7797064047064047,72072,mardia_kurtosis_z
