rung,lambda_orth,n_seeds,auroc_mean,auroc_sd,fpr95_mean,fpr95_sd
runA_grl,0.0,5,0.4012542977195227,0.02772239114284199,0.9849220446023288,0.008887132497351813
runB_orth1,1.0,5,0.4084459538957774,0.021800219393492155,0.9795539767120586,0.01194660781936359
runB,5.0,5,0.4152805066589854,0.019854197942853605,0.9714624037892244,0.01928466609131092
