rung,seed,id_n,id_norm_mean,id_norm_median,ood_n,ood_norm_mean,ood_norm_median
runA_grl,42,5067,6.970971584320068,6.533775806427002,2298,6.948076248168945,6.377218723297119
runA_grl,52,5067,6.908664703369141,6.490377426147461,2298,7.321606159210205,6.540223121643066
runA_grl,62,5067,6.749154090881348,6.332333564758301,2298,6.499636173248291,5.98259162902832
runA_grl,72,5067,6.713324069976807,6.214150905609131,2298,6.800336837768555,5.99257755279541
runA_grl,82,5067,6.277983665466309,5.806600570678711,2298,6.574047088623047,5.941349029541016
runB_orth1,42,5067,7.072606086730957,6.5987138748168945,2298,7.005931377410889,6.403093338012695
runB_orth1,52,5067,6.907859802246094,6.246139049530029,2298,6.936330318450928,6.210631370544434
runB_orth1,62,5067,6.616209983825684,6.203273773193359,2298,6.900802135467529,6.334414482116699
runB_orth1,72,5067,6.747868537902832,6.2186408042907715,2298,6.774718284606934,6.157256126403809
runB_orth1,82,5067,7.06949520111084,6.57884407043457,2298,7.10521936416626,6.29217529296875
runB,42,5067,7.311767578125,6.798342704772949,2298,6.902586460113525,6.2253336906433105
runB,52,5067,6.712874889373779,6.16889762878418,2298,6.42302131652832,5.825655937194824
runB,62,5067,6.855869770050049,6.317090034484863,2298,6.918838977813721,6.278596878051758
runB,72,5067,6.7067437171936035,6.208190441131592,2298,7.0509419441223145,6.497514247894287
runB,82,5067,7.040629863739014,6.539208889007568,2298,6.71442174911499,5.885812282562256
