metric,n,tau,p_exact,p_monte_carlo,n_monte_carlo
condition_number,13,-0.12820512820512817,0.5900407829053662,0.58892,100000
fisher_ratio_HL,13,-0.282051282051282,0.2043667716671189,0.20215,100000
fisher_ratio_scalar,13,-0.15384615384615383,0.5097745711721406,0.50858,100000
mardia_kurtosis_b,13,-0.12820512820512817,0.5900407829053662,0.59026,100000
mardia_kurtosis_z,13,-0.12820512820512817,0.5900407829053662,0.5915,100000
