design,design_kind,n,group_sizes,null_space,max_attainable_abs_tau,tau_crit,p_at_tau_crit,contract_threshold_0.3_attainable,power_at_tau_0.3,power_at_tau_0.5,power_at_tau_crit,mde_power50,mde_power80,n_sim,alpha
"A (n=15, continuous-continuous)",A,15,-,15! orderings,1.0,0.390476190476,0.04629247541540861,False,0.33605,0.7987,0.55279761904716,0.36882956878850104,0.5006860158311346,20000,0.05
"B (5/5/5 ladder, n=15)",B,15,5/5/5,"756,756",0.8451542547285166,0.439480212459,0.042713899856757,False,0.2664,0.7077,0.564929119462255,0.41230452674897117,0.5420871559633028,20000,0.05
