rung,method,seed,checkpoint_path,id_n,id_mean,id_median,id_p95,ood_n,ood_mean,ood_median,ood_p95
runA_grl,csg,42,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s42/best-26.ckpt,5067,18.582447052001953,11.992151260375977,55.740194320678675,2298,17.161441802978516,8.674310684204102,59.554830360412616
runA_grl,csg,52,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s52/best-38.ckpt,5067,20.444780349731445,14.284293174743652,58.127488708496095,2298,19.700090408325195,10.465200424194336,66.19111061096193
runA_grl,csg,62,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s62/best-39.ckpt,5067,18.901844024658203,13.838393211364746,51.54740409851073,2298,14.809292793273926,6.109743118286133,56.54349060058595
runA_grl,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s72/best-18.ckpt,5067,16.546634674072266,11.592202186584473,46.48145256042479,2298,16.201997756958008,9.308088302612305,50.48443756103517
runA_grl,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runA_grl_s82/best-34.ckpt,5067,19.22652053833008,14.181849479675291,51.64504852294922,2298,15.92477798461914,8.71061897277832,50.36430110931397
runB_orth1,csg,42,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s42/best-34.ckpt,5067,19.86464500427246,14.047063827514648,55.45404739379876,2298,17.508975982666016,9.12602710723877,58.72139110565186
runB_orth1,csg,52,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s52/best-38.ckpt,5067,20.536394119262695,14.182673454284668,58.051644897460925,2298,19.532398223876953,9.89997100830078,69.13937873840332
runB_orth1,csg,62,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s62/best-39.ckpt,5067,19.497243881225582,14.059809684753418,54.46861305236816,2298,17.665191650390625,9.853206634521484,58.32897052764894
runB_orth1,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s72/best-28.ckpt,5067,19.454477310180664,13.995214462280272,52.52951202392576,2298,16.757122039794922,8.422685623168945,56.948167800903335
runB_orth1,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_orth1_s82/best-38.ckpt,5067,19.99233055114746,14.436094284057615,55.06476211547851,2298,14.742565155029297,6.751440048217773,53.6511589050293
runB,csg,42,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s42/best-38.ckpt,5067,21.171567916870117,13.9636812210083,60.88245773315429,2298,17.58043670654297,9.244037628173828,59.628907775878915
runB,csg,52,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s52/best-39.ckpt,5067,19.92683219909668,14.072702407836914,56.91779785156249,2298,17.011756896972656,8.538768768310547,59.38586502075196
runB,csg,62,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s62/best-24.ckpt,5067,17.82431983947754,12.88089656829834,47.62542457580565,2298,17.32585334777832,10.206354141235352,54.2503932952881
runB,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s72/best-35.ckpt,5067,18.843664169311523,14.397757530212402,51.22920074462889,2298,18.821563720703125,9.849790573120115,58.91671772003174
runB,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s82/best-34.ckpt,5067,19.183969497680664,13.660399436950684,54.983953857421845,2298,15.727572441101074,8.50357437133789,52.73461532592775
