condition,role,n_seeds,lambda_orth,condition_number_mean,condition_number_sd,fisher_ratio_HL_mean,fisher_ratio_HL_sd,fisher_ratio_scalar_mean,fisher_ratio_scalar_sd,mardia_kurtosis_b_mean,mardia_kurtosis_b_sd,mardia_kurtosis_z_mean,mardia_kurtosis_z_sd
runA_grl,primary ladder,5,0.0,75.49870217797083,7.792215873919177,541274.4810060422,81065.99711318917,4.694877302038991,0.6511867356540962,739.7550165628904,85.82084203325726,340.95341789434116,98.45674529891595
runB_orth1,primary ladder,5,1.0,559.8030621779337,126.14866869432858,570578.675191039,43098.72487331239,4.934815987514101,0.36575574661196975,787.4785337470612,239.89443670096594,396.74207445593714,256.542527615705
runB,primary ladder,5,5.0,8066.177172058483,3337.0830914728263,584857.121524332,60298.885945158734,5.128445446918101,0.4150678180934922,765.6373892839946,126.46441044569598,366.5740465877446,141.77650214274445
