J,mean_J_null,z_normal_approx,p_normal_approx,p_exact,n_arrangements,metric
75.0,37.5,3.9620290784653074,7.431548663605625e-05,1.3214298928584643e-06,756756,condition_number
48.0,37.5,1.109368141970286,0.2672713999116141,0.14891722034579177,756756,fisher_ratio_HL
48.0,37.5,1.109368141970286,0.2672713999116141,0.14891722034579177,756756,fisher_ratio_scalar
40.0,37.5,0.26413527189768715,0.7916756856656499,0.4181836681836682,756756,mardia_kurtosis_b
38.0,37.5,0.05282705437953743,0.9578697053145258,0.5,756756,mardia_kurtosis_z
