metric,n_full,tau_full,p_full_exact,n_arrangements_full,n_common_seed,tau_common_seed,p_common_seed_exact,n_arrangements_common,sign_stable,passes_contract_threshold
condition_number,15,0.8451542547285166,2.6428597857169285e-06,756756,15,0.8451542547285166,2.6428597857169285e-06,756756,True,True
fisher_ratio_HL,15,0.1690308509457033,0.46808218236789667,756756,15,0.1690308509457033,0.46808218236789667,756756,True,False
fisher_ratio_scalar,15,0.1690308509457033,0.46808218236789667,756756,15,0.1690308509457033,0.46808218236789667,756756,True,False
mardia_kurtosis_b,15,0.3718678720805473,0.09116809116809117,756756,15,0.3718678720805473,0.09116809116809117,756756,True,True
mardia_kurtosis_z,15,0.4169427656660682,0.05576698433841291,756756,15,0.4169427656660682,0.05576698433841291,756756,True,True
