rung,lambda_orth,n_seeds,auroc_mean,auroc_sd,fpr95_mean,fpr95_sd
runA_grl,0.0,5,0.4013681335036533,0.027603706619443807,0.9849615156897572,0.008926271009939321
runB_orth1,1.0,5,0.40848108797294663,0.021858869930542972,0.9797513321492008,0.011826185965889987
runB,5.0,3,0.3933455748668451,0.025333116491032922,0.985000986777186,0.0032608469788549567
