metric,n_full,tau_full,p_full_exact,n_arrangements_full,n_common_seed,tau_common_seed,p_common_seed_exact,n_arrangements_common,sign_stable,passes_contract_threshold,scorer
auroc,15,0.19156829773846373,0.4063608349322635,756756,15,0.19156829773846373,0.4063608349322635,756756,True,False,mahalanobis
auroc,15,0.3718678720805473,0.09116809116809117,756756,15,0.3718678720805473,0.09116809116809117,756756,True,True,cosine
auroc,15,0.14649340415294287,0.5344206058491773,756756,15,0.14649340415294287,0.5344206058491773,756756,True,False,knn_k1
auroc,15,0.21410574453122416,0.34955520669806384,756756,15,0.21410574453122416,0.34955520669806384,756756,True,False,knn_k10
auroc,15,0.304255531702266,0.17331345902774475,756756,15,0.304255531702266,0.17331345902774475,756756,True,True,knn_k50
auroc,15,0.21410574453122416,0.34955520669806384,756756,15,0.21410574453122416,0.34955520669806384,756756,True,False,energy
auroc,15,0.14649340415294287,0.5344206058491773,756756,15,0.14649340415294287,0.5344206058491773,756756,True,False,vim
auroc,15,0.1690308509457033,0.46808218236789667,756756,15,0.1690308509457033,0.46808218236789667,756756,True,False,density_kde
