family,test,design,tau,p_exact,at_design_ceiling,ci_lo,ci_hi,ci_method,ci_width,ci_lo_percentile,ci_hi_percentile,ci_lo_fixed_denominator,ci_hi_fixed_denominator,ci_contains_zero,ci_excludes_abs_tau_0.3,largest_effect_not_excluded,tau_crit_for_design,bca_degenerate,z0,acceleration,n_boot,n_boot_nan
E1,condition_number,"B (5/5/5 ladder, n=15)",0.8451542547285166,2.6428597857169285e-06,True,0.8574929257125441,0.8932370012631203,percentile (BCa degenerate),0.03574407555057624,0.8574929257125441,0.8932370012631203,0.8451542547285166,0.8451542547285166,False,False,0.8932370012631203,0.439480212459,True,,,20000,0
E1,fisher_ratio_HL,"B (5/5/5 ladder, n=15)",0.1690308509457033,0.46808218236789667,False,-0.3829708431025352,0.59793458939576,BCa,0.9809054324982953,-0.3348631561299829,0.6415330278717847,-0.3718678720805473,0.5747048932153913,True,False,0.59793458939576,0.439480212459,False,-0.07062024180799978,-0.01200616410627492,20000,0
E1,fisher_ratio_scalar,"B (5/5/5 ladder, n=15)",0.1690308509457033,0.46808218236789667,False,-0.4103472672323844,0.6119912853410032,BCa,1.0223385525733877,-0.3597604889751088,0.6581793068761733,-0.39440531887330776,0.5972423400081517,True,False,0.6119912853410032,0.439480212459,False,-0.07175108618433766,-0.015584021859777747,20000,0
E1,mardia_kurtosis_b,"B (5/5/5 ladder, n=15)",0.3718678720805473,0.09116809116809117,False,-0.12494740827357749,0.6382847385042253,BCa,0.7632321467778028,-0.011605177063713187,0.691728250477448,-0.07888106377466154,0.6423172335936727,True,False,0.6382847385042253,0.439480212459,False,-0.18006696089014546,-0.011844572311099703,20000,0
E1,mardia_kurtosis_z,"B (5/5/5 ladder, n=15)",0.4169427656660682,0.05576698433841291,False,0.011785113019775792,0.6752777206453653,BCa,0.6634926076255895,0.10339459445569792,0.7188918942063233,0.033806170189140665,0.664854680386433,False,False,0.6752777206453653,0.439480212459,False,-0.15084244886837964,-0.013377437725107905,20000,0
E2,condition_number,"A (n=15, continuous-continuous)",0.009523809523809525,1.0,False,-0.4226804123711341,0.44086021505376344,BCa,0.8635406274248976,-0.4226804123711341,0.443298969072165,-0.3904761904761905,0.41904761904761906,True,False,0.44086021505376344,0.390476190476,False,-0.025194279258247642,0.011054914676781288,20000,0
E2,fisher_ratio_HL,"A (n=15, continuous-continuous)",-0.2761904761904762,0.16857787367749338,False,-0.62,0.15151515151515152,BCa,0.7715151515151515,-0.6400526315789473,0.12,-0.6,0.10476190476190476,True,False,0.62,0.390476190476,False,0.11581394295150714,-0.0227153763785169,20000,0
E2,fisher_ratio_scalar,"A (n=15, continuous-continuous)",-0.33333333333333337,0.09264256691158146,False,-0.6458333333333335,0.06250000000000001,BCa,0.7083333333333335,-0.673469387755102,0.030303030303030304,-0.638095238095238,0.009523809523809525,True,False,0.6458333333333335,0.390476190476,False,0.11625556593840165,-0.016443100484950065,20000,0
E2,mardia_kurtosis_b,"A (n=15, continuous-continuous)",-0.2571428571428572,0.20184282422518202,False,-0.6210526315789474,0.16326530612244897,BCa,0.7843179377013964,-0.6122448979591837,0.1739466606902705,-0.6095238095238096,0.11428571428571428,True,False,0.6210526315789474,0.390476190476,False,-0.01378689226308428,-0.006515750829712225,20000,0
E2,mardia_kurtosis_z,"A (n=15, continuous-continuous)",-0.20000000000000004,0.32823358766943417,False,-0.5306122448979592,0.2448979591836735,BCa,0.7755102040816327,-0.536842105263158,0.23232323232323235,-0.5142857142857142,0.19047619047619047,True,False,0.5306122448979592,0.390476190476,False,-0.025131593709102406,0.02678273239992043,20000,0
